=================TEST FOR SBOX5================
 0. 000000 vs 001100 => 0010 vs 1011; diff by 2
 1. 000001 vs 001101 => 1110 vs 1101; diff by 2
 2. 000010 vs 001110 => 1100 vs 0110; diff by 2
 3. 000011 vs 001111 => 1011 vs 0001; diff by 2
 4. 000100 vs 001000 => 0100 vs 0111; diff by 2
 5. 000101 vs 001001 => 0010 vs 0100; diff by 2
 6. 000110 vs 001010 => 0001 vs 1010; diff by 3
 7. 000111 vs 001011 => 1100 vs 0111; diff by 3
 8. 001000 vs 000100 => 0111 vs 0100; diff by 2
 9. 001001 vs 000101 => 0100 vs 0010; diff by 2
10. 001010 vs 000110 => 1010 vs 0001; diff by 3
11. 001011 vs 000111 => 0111 vs 1100; diff by 3
12. 001100 vs 000000 => 1011 vs 0010; diff by 2
13. 001101 vs 000001 => 1101 vs 1110; diff by 2
14. 001110 vs 000010 => 0110 vs 1100; diff by 2
15. 001111 vs 000011 => 0001 vs 1011; diff by 2
16. 010000 vs 011100 => 1000 vs 1110; diff by 2
17. 010001 vs 011101 => 0101 vs 1000; diff by 3
18. 010010 vs 011110 => 0101 vs 1001; diff by 2
19. 010011 vs 011111 => 0000 vs 0110; diff by 2
20. 010100 vs 011000 => 0011 vs 1101; diff by 3
21. 010101 vs 011001 => 1111 vs 0011; diff by 2
22. 010110 vs 011010 => 1111 vs 0000; diff by 4
23. 010111 vs 011011 => 1010 vs 1001; diff by 2
24. 011000 vs 010100 => 1101 vs 0011; diff by 3
25. 011001 vs 010101 => 0011 vs 1111; diff by 2
26. 011010 vs 010110 => 0000 vs 1111; diff by 4
27. 011011 vs 010111 => 1001 vs 1010; diff by 2
28. 011100 vs 010000 => 1110 vs 1000; diff by 2
29. 011101 vs 010001 => 1000 vs 0101; diff by 3
30. 011110 vs 010010 => 1001 vs 0101; diff by 2
31. 011111 vs 010011 => 0110 vs 0000; diff by 2
32. 100000 vs 101100 => 0100 vs 0111; diff by 2
33. 100001 vs 101101 => 1011 vs 0010; diff by 2
34. 100010 vs 101110 => 0010 vs 1000; diff by 2
35. 100011 vs 101111 => 1000 vs 1101; diff by 2
36. 100100 vs 101000 => 0001 vs 1010; diff by 3
37. 100101 vs 101001 => 1100 vs 0001; diff by 3
38. 100110 vs 101010 => 1011 vs 1101; diff by 2
39. 100111 vs 101011 => 0111 vs 1110; diff by 2
40. 101000 vs 100100 => 1010 vs 0001; diff by 3
41. 101001 vs 100101 => 0001 vs 1100; diff by 3
42. 101010 vs 100110 => 1101 vs 1011; diff by 2
43. 101011 vs 100111 => 1110 vs 0111; diff by 2
44. 101100 vs 100000 => 0111 vs 0100; diff by 2
45. 101101 vs 100001 => 0010 vs 1011; diff by 2
46. 101110 vs 100010 => 1000 vs 0010; diff by 2
47. 101111 vs 100011 => 1101 vs 1000; diff by 2
48. 110000 vs 111100 => 1111 vs 0000; diff by 4
49. 110001 vs 111101 => 0110 vs 0101; diff by 2
50. 110010 vs 111110 => 1001 vs 1110; diff by 3
51. 110011 vs 111111 => 1111 vs 0011; diff by 2
52. 110100 vs 111000 => 1100 vs 0110; diff by 2
53. 110101 vs 111001 => 0000 vs 1010; diff by 2
54. 110110 vs 111010 => 0101 vs 0011; diff by 2
55. 110111 vs 111011 => 1001 vs 0100; diff by 3
56. 111000 vs 110100 => 0110 vs 1100; diff by 2
57. 111001 vs 110101 => 1010 vs 0000; diff by 2
58. 111010 vs 110110 => 0011 vs 0101; diff by 2
59. 111011 vs 110111 => 0100 vs 1001; diff by 3
60. 111100 vs 110000 => 0000 vs 1111; diff by 4
61. 111101 vs 110001 => 0101 vs 0110; diff by 2
62. 111110 vs 110010 => 1110 vs 1001; diff by 3
63. 111111 vs 110011 => 0011 vs 1111; diff by 2
