==========================LDT FOR SBOX5=========================
   |   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
   -------------------------------------------------------------
  1|   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  2|   4  -2   2  -2   2  -4   0   4   0   2  -2   2  -2   0  -4
  3|   0  -2   6  -2  -2   4  -4   0   0  -2   6  -2  -2   4  -4
  4|   2  -2   0   0   2  -2   0   0   2   2   4  -4  -2  -2   0
  5|   2   2  -4   0  10  -6  -4   0   2 -10   0   4  -2   2   4
  6|  -2  -4  -6  -2  -4   2   0   0  -2   0  -2  -6  -8   2   0
  7|   2   0   2  -2   8   6   0  -4   6   0  -6  -2   0  -6  -4
  8|   0   2   6   0   0  -2  -6  -2   2   4 -12   2   6  -4   4
  9|  -4   6  -2   0  -4  -6  -6   6  -2   0  -4   2  -6  -8  -4
 10|   4   0   0  -2  -6   2   2   2   2  -2   2   4  -4  -4   0
 11|   4   4   4   6   2  -2  -2  -2  -2  -2   2   0  -8  -4   0
 12|   2   0  -2   0   2   4  10  -2   4  -2  -8  -2   4  -6  -4
 13|   6   0   2   0  -2   4 -10  -2   0  -2   4  -2   8  -6   0
 14|  -2  -2   0  -2   4   0   2  -2   0   4   2  -4   6  -2  -4
 15|  -2  -2   8   6   4   0   2   2   4   8  -2   8  -6   2   0
 16|   2  -2   0   0  -2  -6  -8   0  -2  -2  -4   0   2  10 -20
 17|   2  -2   0   4   2  -2  -4   4   2   2   0  -8  -6   2   4
 18|  -2   0  -2   2  -4  -2  -8   4   6   4   6  -2   4  -6   0
 19|  -6   0   2  -2   4   2   0   4  -6   4   2  -6   4  -2   0
 20|   4  -4   0   0   0   0   0  -4  -4   4   4   0   4  -4   0
 21|   4   0  -4  -4   4  -8  -8   0   0  -4   4   8   4   0   4
 22|   0   6   6   2  -2   4   0   4   0   6   2   2   2   0   0
 23|   4  -6  -2   6  -2  -4   4   4  -4  -6   2  -2   2   0   4
 24|   6   0   2   4 -10  -4   2   2   0  -2   0   2   4  -2  -4
 25|   2   4  -6   0  -2   4  -2   6   8   6   4  10   0   2  -4
 26|   2   2  -8  -2   4   0   2  -2   0   4   2   0  -2  -2   0
 27|   2   6  -4  -6   0   0   2   6   8   0  -2  -4  -6  -2   0
 28|   0  -2   2   4   0  -6   2  -2   6  -4   0   2  -2   0   0
 29|   4  -2   6  -8   0  -2   2  10  -2  -8  -8   2   2   0   4
 30|  -4  -8   0  -2  -2  -2   2  -2   2  -2   6   4   4   4   0
 31|  -4   8  -8   2  -6  -6  -2  -2   2  -2  -2  -8   0   0  -4
 32|   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
 33|   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
 34|  -4  -2   2  -2   2  -4   8  -4   0  -6   6   2  -2 -16 -12
 35|   0  -2  -2   6  -2  -4   4   0   0  -2  -2  -2   6   4  -4
 36|  -2   6   4   0   6  -2   4   4  -6  -2   4   0  14   2   0
 37|   6   2   0   0   6   2   0  -4  -6   2  -8   0  -2   6  -4
 38|   2   4  -2  -2   0   2  -4   4  -2  -4  -2   6   0  -2   0
 39| -10   0  -2   6   4   6  -4   0   6 -12   2   2   0   6  -4
 40|   4  -2  -2   0   4  -6   2   2  -6   4   0   6  -2  -4   0
 41|   0   2   6   0   0   6   2   2  -2  -8   0  -2  -6   0   0
 42|   0  -4  -8   6   6   6  -6   6   2  -2  -2  -8   4  -4   4
 43|   8   0   4   6  -2  -6   6   2   6  -2   6  -4   0   4   4
 44|   2   4  -6   0  -6   0   6  -2  -4   2  -4  -2   4   6   0
 45|  -2  -4  -2   0  -2  -8   2  -2   0  -6  -8  -2   0  -2   4
 46|   6   2  -4   6   4   4  -2 -10  -8   0  -2   4  -2   2   0
 47|   6  -6  -4   6  -4   4  -2   2   4   4  -6   0   2  -2  -4
 48|   2  -2   0  -4  -6  -2  -4   4   2   2   0   0   2   2   4
 49|   2  -2   0   0  -2   2   0   0  -2  -2  -4   0   2   2   4
 50|   6   0  -2  -2   8   2   4   0  10   0   2  -2   4   2   0
 51|  -6   0  10   2   0  -2  -4   0   6   0 -10   2   4  -2   0
 52|   0 -12   4  -4   0   4  -8  -4   0  -4   0  -4  -4   0   0
 53|  -8   0   0   8  -4   4   0   0  -4  -4   0   4   4  -4   4
 54|   4  -2  -6  -2  -2   8   0   4  -4  -2  -2   6   2  -4   0
 55|  -8  -6  -6  -6   6   0   4  12   0   2  -2   2   2   4  -4
 56|   2   4  -6   0  -2   4  -2  -6   4  -6   0   6   4  -2   0
 57|  -2   8   2  -4   6  -4  -6  -2  -4   2   4  -2   0   2   0
 58|   6 -10   0   2   4   0  -2   6  -4   0   2   4  -2  -2  -4
 59|  -2  -6  -4 -10   0  -8  -2 -10   4   4  -2   0   2  -2   4
 60|  -8  -6  -2   0  -4   2   2  -6   2   4   0  10  -2   4   4
 61|   4   2   2   4   4  -2   2  -2  10   0   0   2   2   4   0
 62|  -4   4  -4   2   2  -2   2   2  -2  -2  -2   4  -4   0   4
 63|  -4  -4  -4  14   6  -6  -2   2  -2   6  -2   0   0  -4   0
